"SUB","Subject","LOCATION","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"MATHTREND_T1A","Mean score in mathematics","AUS","Australia","2012","2012","AVSCORE","Average score","0","units",,,504.1507663,,
"MATHTREND_T1B","Annualised change in mathematics across PISA assessments","AUS","Australia","2012","2012","AVGRW","Average growth rate","0","units",,,-2.20563639,,
"MATHTREND_T1C","All students","AUS","Australia","2012","2012","AVGRW","Average growth rate","0","units",,,-20.11523794,,
"MATHTREND_T1D","Boys","AUS","Australia","2012","2012","AVGRW","Average growth rate","0","units",,,-16.77777473,,
"MATHTREND_T1E","Girls","AUS","Australia","2012","2012","AVGRW","Average growth rate","0","units",,,-23.72883515,,
"MATHTREND_T1F","Share of students below proficiency Level 2","AUS","Australia","2012","2012","AVGRW","Average growth rate","0","units",,,5.324547186,,
"MATHTREND_T1G","Share of students at proficiency Level 5 or above","AUS","Australia","2012","2012","AVGRW","Average growth rate","0","units",,,-4.965408113,,
"EVOPOP_T1","Population levels","AUS","Australia","2012","2012","HAB","Inhabitants","3","thousands",,,22684,,
"EVOPOP_T2","Population growth rates","AUS","Australia","2012","2012","GRWH","Growth rate","0","units",,,1.612614,"B","Break"
"EVOPOP_T4","Working age population","AUS","Australia","2012","2012","PC","Percentage","0","units",,,67.02522,,
"AGEING_T1A","Youth population (under the age of 15)","AUS","Australia","2012","2012","PC","Percentage","0","units",,,18.81943,"B","Break"
"AGEING_T1B","Elderly population (age 65 and over)","AUS","Australia","2012","2012","PC","Percentage","0","units",,,14.15535,"B","Break"
"MIGUNEMP_T1A","Unemployment rates of native-born populations: Men","AUS","Australia","2012","2012","PC","Percentage","0","units",,,5.44,,
"MIGUNEMP_T1B","Unemployment rates of foreign-born populations: Men","AUS","Australia","2012","2012","PC","Percentage","0","units",,,4.903,,
"MIGUNEMP_T1C","Unemployment rates of native-born populations: Women","AUS","Australia","2012","2012","PC","Percentage","0","units",,,5.226,,
"MIGUNEMP_T1D","Unemployment rates of foreign-born populations: Women","AUS","Australia","2012","2012","PC","Percentage","0","units",,,5.996,,
"MIGUNEMP_T1E","Unemployment rates of native-born populations: Total","AUS","Australia","2012","2012","PC","Percentage","0","units",,,5.34,,
"MIGUNEMP_T1F","Unemployment rates of foreign-born populations: Total","AUS","Australia","2012","2012","PC","Percentage","0","units",,,5.392,,
"SIZEGDP_T2","GDP per capita","AUS","Australia","2012","2012","USD","US Dollar","0","units",,,44407.02274,,
"EVOGDP_T1","Real GDP growth","AUS","Australia","2012","2012","GRWH","Growth rate","0","units",,,3.680949887,,
"INVRATES_T1","Gross fixed capital formation","AUS","Australia","2012","2012","GRWH","Growth rate","0","units",,,8.923443984,,
"VALADDAC_T1A","Value added in agriculture, hunting and forestry, fishing","AUS","Australia","2012","2012","PC","Percentage","0","units",,,2.363409526,,
"VALADDAC_T1B","Value added in industry, including energy","AUS","Australia","2012","2012","PC","Percentage","0","units",,,20.5452145,,
"VALADDAC_T1C","Value added in manufacturing","AUS","Australia","2012","2012","PC","Percentage","0","units",,,7.1267815,,
"VALADDAC_T1D","Value added in construction","AUS","Australia","2012","2012","PC","Percentage","0","units",,,7.733712118,,
"VALADDAC_T1E","Value added in wholesale and retail trade, repairs, hotels and restaurants, transport","AUS","Australia","2012","2012","PC","Percentage","0","units",,,19.98262936,,
"VALADDAC_T1F","Value added in financial intermediation, real estate, renting and business activities","AUS","Australia","2012","2012","PC","Percentage","0","units",,,30.6730543,,
"VALADDAC_T1G","Value added in other services activities","AUS","Australia","2012","2012","PC","Percentage","0","units",,,18.70190758,,
"EVOVA_T1A","Real value added in agriculture, hunting and forestry, fishing","AUS","Australia","2012","2012","GRWH","Growth rate","0","units",,,6.263216818,,
"EVOVA_T1B","Real value added in industry, including energy","AUS","Australia","2012","2012","GRWH","Growth rate","0","units",,,2.708202708,,
"EVOVA_T1D","Real value added in construction","AUS","Australia","2012","2012","GRWH","Growth rate","0","units",,,4.268516906,,
"EVOVA_T1E","Real value added in distributive trade, repairs, transport, accommodation and food service activities, information and communication","AUS","Australia","2012","2012","GRWH","Growth rate","0","units",,,3.205336928,,
"EVOVA_T1F","Real value added in financial and insurance activities, real estate activities, professional, scientific, technical, administrative and support service activities","AUS","Australia","2012","2012","GRWH","Growth rate","0","units",,,2.719412327,,
"NATINCCAP_T1","Gross national income per capita","AUS","Australia","2012","2012","USD","US Dollar","0","units",,,43371.64134,,
"HOUSINC_T1","Real household disposable income","AUS","Australia","2012","2012","GRWH","Growth rate","0","units",,,1.135587587,,
"HOUSSAVE_T1","Household net saving rates","AUS","Australia","2012","2012","PC","Percentage","0","units",,,10.45161456,,
"HOUSWEALTH_T1A","Currency and deposits (AF2)","AUS","Australia","2012","2012","PC","Percentage","0","units",,,22.54164,,
"HOUSWEALTH_T1B","Securities other than shares (AF33)","AUS","Australia","2012","2012","PC","Percentage","0","units",,,0.1728226,,
"HOUSWEALTH_T1C","Shares and other equity (AF51)","AUS","Australia","2012","2012","PC","Percentage","0","units",,,14.80662,,
"HOUSWEALTH_T1D","Mutual funds shares (AF52)","AUS","Australia","2012","2012","PC","Percentage","0","units",,,1.323342,,
"HOUSWEALTH_T1E","Life insurance reserves (AF611)","AUS","Australia","2012","2012","PC","Percentage","0","units",,,1.650388,,
"HOUSWEALTH_T1F","Pension funds (AF612)","AUS","Australia","2012","2012","PC","Percentage","0","units",,,56.1964,,
"TRADEGDP_T1A","International imports in goods and services","AUS","Australia","2012","2012","PC","Percentage","0","units",,,21.98877605,,
"TRADEGDP_T1B","International exports in goods and services","AUS","Australia","2012","2012","PC","Percentage","0","units",,,19.93118294,,
"MERTRADE_T2","Imports of goods","AUS","Australia","2012","2012","USD","US Dollar","9","billions",,,250.4647944,,
"MERTRADE_T1","Trade balance of goods","AUS","Australia","2012","2012","USD","US Dollar","9","billions",,,5.77811859,,
"MERTRADE_T3","Exports of goods","AUS","Australia","2012","2012","USD","US Dollar","9","billions",,,256.242913,,
"SVCTRADE_T1","Trade balance of services","AUS","Australia","2012","2012","USD","US Dollar","9","billions",,,-11.60299,,
"SVCTRADE_T2","Imports of services","AUS","Australia","2012","2012","USD","US Dollar","9","billions",,,64.51831,,
"SVCTRADE_T3","Exports of services","AUS","Australia","2012","2012","USD","US Dollar","9","billions",,,52.91532,,
"TRDPRTNR_T1A","Partner countries and regions of OECD merchandise imports","AUS","Australia","2012","2012","PC","Percentage","0","units",,,1.086966874,,
"TRDPRTNR_T1B","Partner countries and regions of OECD merchandise exports","AUS","Australia","2012","2012","PC","Percentage","0","units",,,1.167402161,,
"FDIFLSTK_T1A","Outward FDI stocks","AUS","Australia","2012","2012","USD","US Dollar","6","millions",,,424488.607,,
"FDIFLSTK_T2A","Outflows of foreign direct investment","AUS","Australia","2012","2012","USD","US Dollar","6","millions",,,13429.607,,
"FDIFLSTK_T2B","Inflows of foreign direct investment","AUS","Australia","2012","2012","USD","US Dollar","6","millions",,,56422.36,,
"FDIFLSTK_T3H","Communications","AUS","Australia","2012","2012","0_TO_1","0-1 scale","0","units",,,0.4,,
"FDIFLSTK_T3J","Business services","AUS","Australia","2012","2012","0_TO_1","0-1 scale","0","units",,,0.078,,
"FDIFLSTK_T3I","Financial services","AUS","Australia","2012","2012","0_TO_1","0-1 scale","0","units",,,0.133,,
"FDIFLSTK_T3G","Media","AUS","Australia","2012","2012","0_TO_1","0-1 scale","0","units",,,0.2,,
"FDIFLSTK_T3A","Total FDI Index","AUS","Australia","2012","2012","0_TO_1","0-1 scale","0","units",,,0.128,,
"FDIFLSTK_T3C","Manufacturing","AUS","Australia","2012","2012","0_TO_1","0-1 scale","0","units",,,0.075,,
"FDIFLSTK_T3D","Electricity","AUS","Australia","2012","2012","0_TO_1","0-1 scale","0","units",,,0.075,,
"FDIFLSTK_T3E","Distribution","AUS","Australia","2012","2012","0_TO_1","0-1 scale","0","units",,,0.075,,
"FDIFLSTK_T3B","Primary sector","AUS","Australia","2012","2012","0_TO_1","0-1 scale","0","units",,,0.078,,
"FDIFLSTK_T3F","Transport","AUS","Australia","2012","2012","0_TO_1","0-1 scale","0","units",,,0.267,,
"BOP_T1","Current account balance","AUS","Australia","2012","2012","PC","Percentage","0","units",,,-4.118737,,
"CPI_T3B","CPI: energy","AUS","Australia","2012","2012","GRWH","Growth rate","0","units",,,7.324251,,
"CPI_T3A","CPI: food","AUS","Australia","2012","2012","GRWH","Growth rate","0","units",,,-3.539689,,
"CPI_T1","CPI: all items","AUS","Australia","2012","2012","GRWH","Growth rate","0","units",,,1.76278,,
"CPI_T2","CPI: all items non food non energy","AUS","Australia","2012","2012","GRWH","Growth rate","0","units",,,2.14108,,
"LTINTRST_T1","Long-term interest rates","AUS","Australia","2012","2012","PC","Percentage","0","units",,,3.379167,,
"RTSCONV_T1","Purchasing power parities","AUS","Australia","2012","2012","NATUSD","National currency per US dollar","0","units",,,1.4810864,,
"RTSCONV_T2","Exchange rates","AUS","Australia","2012","2012","NATUSD","National currency per US dollar","0","units",,,0.965801,,
"RTSCONV_T3","Indices of price levels","AUS","Australia","2012","2012","OECDIDX","OECD=100","0","units",,,151,,
"INTLCOMP_T1","Real effective exchange rates","AUS","Australia","2012","2012","RATIO","Ratio","0","units",,,108.3109,,
"WENERGYS_T1","Total primary energy supply","AUS","Australia","2012","2012","TOE","Tonnes of oil equivalent (toe)","6","millions",,,133.68062,,
"TPES_T1","Total primary energy supply per unit of GDP","AUS","Australia","2012","2012","TOE","Tonnes of oil equivalent (toe)","0","units",,,0.16,,
"WELECGEN_T1","Electricity generation","AUS","Australia","2012","2012","TWH","Terawatt hours","0","units",,,252.3,,
"NUCLEARNRJ_T1C","Nuclear power plants connected to the grid","AUS","Australia","2012","2012","NBR","Number","0","units",,,0,"Z","Absolute zero observation"
"NUCLEARNRJ_T1D","Nuclear power plants under construction","AUS","Australia","2012","2012","NBR","Number","0","units",,,0,"Z","Absolute zero observation"
"RNEWABLE_T1","Contribution of renewables to energy supply","AUS","Australia","2012","2012","PC","Percentage","0","units",,,4.6,,
"OILPROD_T1","Production of crude oil","AUS","Australia","2012","2012","TONNE","Tonnes ","6","millions",,,21.8,,
"OILPRICES_T1","Crude oil import prices","AUS","Australia","2012","2012","USD","US Dollar","0","units",,,117.78,,
"EMPLGNDR_T2","Employment rates: men","AUS","Australia","2012","2012","RATIO","Ratio","0","units",,,78.13919586,,
"EMPLGNDR_T1","Employment rates: total","AUS","Australia","2012","2012","RATIO","Ratio","0","units",,,66.55348268,,
"EMPLGNDR_T3","Employment rates: women","AUS","Australia","2012","2012","RATIO","Ratio","0","units",,,72.34486932,,
"EMPLAGE_T1A","Employment rates for age group 15-24","AUS","Australia","2012","2012","PC","Percentage","0","units",,,59.72036435,,
"EMPLAGE_T1B","Employment rates for age group 25-54","AUS","Australia","2012","2012","PC","Percentage","0","units",,,79.47313619,,
"EMPLAGE_T1C","Employment rates for age group 55-64","AUS","Australia","2012","2012","PC","Percentage","0","units",,,61.3673586,,
"PTEMPL_T1","Incidence of part-time employment","AUS","Australia","2012","2012","PC","Percentage","0","units",,,24.62506,,
"SELFEMPL_T1A","Self-employment rates: women","AUS","Australia","2012","2012","PC","Percentage","0","units",,,8.3477,,
"SELFEMPL_T1B","Self-employment rates: men","AUS","Australia","2012","2012","PC","Percentage","0","units",,,12.32831,,
"SELFEMPL_T1C","Self-employment rates: total","AUS","Australia","2012","2012","PC","Percentage","0","units",,,10.51048,,
"HOURSWKD_T1","Average hours actually worked","AUS","Australia","2012","2012","HOUR","Hours","0","units",,,1685,,
"UNEMPLRT_T1B","Unemployment rates: men","AUS","Australia","2012","2012","PC","Percentage","0","units",,,5.158335,,
"UNEMPLRT_T1A","Unemployment rates: women","AUS","Australia","2012","2012","PC","Percentage","0","units",,,5.325195,,
"UNEMPLRT_T1C","Unemployment rates: total","AUS","Australia","2012","2012","PC","Percentage","0","units",,,5.2,,
"LTUNEMP_T1","Long-term unemployment","AUS","Australia","2012","2012","PC","Percentage","0","units",,,20.275922,,
"EXPORTCOMM_T1","Exports of ICT goods","AUS","Australia","2012","2012","USD","US Dollar","6","millions",,,2241,,
"FISHPROD_T1A","Fish landings in domestic and foreign ports","AUS","Australia","2012","2012","TONNE","Tonnes ","3","thousands",,,157.504162,,
"FISHPROD_T1B","Aquaculture","AUS","Australia","2012","2012","TONNE","Tonnes ","3","thousands",,,81.77137923,,
"PISA_T1C","Mean scores on the mathematics scale in PISA 2012: men","AUS","Australia","2012","2012","AVSCORE","Average score","0","units",,,510.1148515,,
"PISA_T1D","Standard error on the mathematics scale in PISA 2012: men","AUS","Australia","2012","2012","SE","Standard-error ","0","units",,,2.405359855,,
"PISA_T1A","Mean scores on the mathematics scale in PISA 2012: women","AUS","Australia","2012","2012","AVSCORE","Average score","0","units",,,497.8213504,,
"PISA_T1B","Standard error on the mathematics scale in PISA 2012: women","AUS","Australia","2012","2012","SE","Standard-error ","0","units",,,2.040775158,,
"PISA_T1G","Mean scores on the reading scale in PISA  2012: men","AUS","Australia","2012","2012","SE","Standard-error ","0","units",,,495.0895594,,
"PISA_T1H","Standard error on the reading scale in PISA 2012: men","AUS","Australia","2012","2012","AVSCORE","Average score","0","units",,,2.293139275,,
"PISA_T1E","Mean scores on the reading scale in PISA 2012: women","AUS","Australia","2012","2012","AVSCORE","Average score","0","units",,,529.5422806,,
"PISA_T1F","Standard error on the reading scale in PISA 2012: women","AUS","Australia","2012","2012","SE","Standard-error ","0","units",,,1.967403488,,
"PISA_T1K","Mean scores on the science scale in PISA 2012: men","AUS","Australia","2012","2012","AVSCORE","Average score","0","units",,,523.7282082,,
"PISA_T1L","Standard error on the science scale in PISA 2012: men","AUS","Australia","2012","2012","SE","Standard-error ","0","units",,,2.508215442,,
"PISA_T1I","Mean scores on the science scale in PISA 2012: women","AUS","Australia","2012","2012","AVSCORE","Average score","0","units",,,519.1244735,,
"PISA_T1J","Standard error on the science scale in PISA 2012: women","AUS","Australia","2012","2012","SE","Standard-error ","0","units",,,2.09737174,,
"GOVDEFCT_T1","General government net lending","AUS","Australia","2012","2012","PC","Percentage","0","units",,,-2.3253261,,
"GOVDEFCT_T2","General government revenues","AUS","Australia","2012","2012","PC","Percentage","0","units",,,30.005923,,
"GOVDEFCT_T3","General government expenditures","AUS","Australia","2012","2012","PC","Percentage","0","units",,,32.331249,,
"GOVDEBT_T1","General government debt","AUS","Australia","2012","2012","PC","Percentage","0","units",,,56.50657,,
"SOCEXPND_T1A","Public social expenditure","AUS","Australia","2012","2012","PC","Percentage","0","units",,,18.766,,
"PENSION_T1B","Private pension expenditure","AUS","Australia","2012","2012","PC","Percentage","0","units",,,4.732,,
"AGRSPPRT_T1","Agricultural producer support estimate by country","AUS","Australia","2012","2012","PC","Percentage","0","units",,,2.7226591,,
"FISHSUPP_T1","Government financial transfers to fishing","AUS","Australia","2012","2012","USD","US Dollar","3","thousands",,,14247.92738,,
"ODA_T1A","Net official development assistance, as a percentage of gross national income","AUS","Australia","2012","2012","PC","Percentage","0","units",,,0.360929509,,
"ODA_T1B","Net official development assistance, millions of US dollars","AUS","Australia","2012","2012","USD","US Dollar","6","millions",,,5402.7,,
"TAXAPW_T1","Taxes on the average worker","AUS","Australia","2012","2012","PC","Percentage","0","units",,,27.208,,
"MATHTREND_T1A","Mean score in mathematics","AUT","Austria","2012","2012","AVSCORE","Average score","0","units",,,505.5407432,,
"MATHTREND_T1B","Annualised change in mathematics across PISA assessments","AUT","Austria","2012","2012","AVGRW","Average growth rate","0","units",,,-0.005379065,,
"MATHTREND_T1C","All students","AUT","Austria","2012","2012","AVGRW","Average growth rate","0","units",,,-0.070240036,,
"MATHTREND_T1D","Boys","AUT","Austria","2012","2012","AVGRW","Average growth rate","0","units",,,7.291750844,,
